"Horodateur","Nom ","1. Quelle est la puissance électrique totale installée (en kVA) pour votre centre de données ? ","  2. Quel est le nombre de baies (racks) actuellement exploitées et quel est le taux d'occupation moyen ?  ","3. Quelle est la classification de votre centre de données (Tier) ?  ","  4. Quel type de système de refroidissement utilisez-vous principalement ?  ","  5. Quelle est la température de consigne moyenne maintenue dans la salle blanche ?  ","  6. Utilisez-vous des techniques d'urbanisation de salle pour optimiser le flux d'air ?  ","  7. Quel est votre PUE (Power Usage Effectiveness) estimé ?
Note : Le PUE est le ratio entre l'énergie totale consommée et l'énergie consommée par les équipements IT.   ","  8. Quelle est la part approximative du refroidissement dans votre consommation totale d'énergie ?  ","  9. Quelle est votre principale source d'alimentation de secours en cas de coupure Somelec ?  ","10. Disposez-vous d'un système de surveillance (Monitoring) en temps réel pour l'énergie et la température ?"
"2026/03/16 1:10:40 AM UTC+0","Sara","200 - 500 kVA","50 racks/ 70%","Tier II","Eau glacée (Chillers)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Système hybride (Solaire + Batteries)","oui"
"2026/03/16 1:11:43 AM UTC+0","Iman",">500 kVA","20racks / 60%","Tier III","Détente directe (climatisation de précision)","25°C","Confinement d'allée froide","< 1.5 (Excellent)","< 30%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:16:09 AM UTC+0","Minetou","50 - 200 kVA","20 racks/ 70%","Tier II","Climatisation domestique (Split)","18°C - 21°C","Confinement d'allée froide","2.0 (Inefficace)","30-50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:16:25 AM UTC+0","Azize","< 50 kVA","10","Tier III","Eau glacée (Chillers)","25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 1:18:38 AM UTC+0","Khadija","200 - 500 kVA","20 racks / 10%","Tier I","Détente directe (climatisation de précision)","18°C - 21°C","Aucun confinement spécifique","1.5 - 2.0 (Moyen)","< 30%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
"2026/03/16 1:19:35 AM UTC+0","Mariem","< 50 kVA","20","Tier I","Détente directe (climatisation de précision)","18°C - 21°C","Confinement d'allée froide","< 1.5 (Excellent)","< 30%","Groupe électrogène (Diesel)","oui"
"2026/03/16 1:25:26 AM UTC+0","Sara",">500 kVA","","Tier I","Climatisation domestique (Split)","25°C","Aucun confinement spécifique","2.0 (Inefficace)","> 50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:27:04 AM UTC+0","Aicha","< 50 kVA","30 racks / 50%","Tier llll","Détente directe (climatisation de précision)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","< 30%","Groupe électrogène (Diesel)","oui"
"2026/03/16 1:29:29 AM UTC+0","Amine mahfoudh","200 - 500 kVA","","Tier II","Eau glacée (Chillers)","25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Système hybride (Solaire + Batteries)","Non"
"2026/03/16 1:50:53 AM UTC+0","Hafsa","50 - 200 kVA","60 racks / 70%","","Free Cooling (Adapté aux nuits fraîches en Mauritanie)","22°C - 25°C","Confinement d'allée chaude","1.5 - 2.0 (Moyen)","30-50%","Parc de batteries (UPS/Onduleurs) uniquement","oui"
